x,y,t,velocity,gaze_state
439.2572937011719,210.94488525390625,16.710552,0.0,FIXATION
440.0954895019531,212.92193603515625,16.720577,214.2039135201106,OTHER
442.8608703613281,214.38739013671875,16.730574,313.06176066505526,SACCADE
444.2107238769531,218.06385803222656,16.740558,392.27187024099595,SACCADE
446.0570068359375,222.4912872314453,16.750625,476.5040983553685,SACCADE
447.216796875,224.3683929443359,16.76065,220.099672461168,OTHER
448.0370788574219,225.20730590820312,16.770646,117.37714695638402,OTHER
449.029541015625,226.7079315185547,16.780631,180.18298547741077,OTHER
448.87298583984375,226.9959716796875,16.790697,32.568679444404296,OTHER
448.3673400878906,225.67584228515625,16.800722,141.012924740928,OTHER
448.8480529785156,225.4764709472656,16.810718,52.06252113620361,OTHER
449.3224487304687,224.8972930908203,16.820703,74.97890401765198,OTHER
446.4300537109375,255.29151916503903,16.83077,3032.8340004521333,SACCADE
450.6623840332031,316.3724060058594,16.840794,6108.074778747827,SACCADE
464.3728332519531,390.4862365722656,16.85079,7540.148338262587,SACCADE
468.2433166503906,456.0330505371094,16.860775,6575.962833758096,SACCADE
456.5785827636719,508.01763916015625,16.870842,5292.265044262576,SACCADE
448.1955871582031,564.2318115234375,16.880866,5669.971740712538,SACCADE
449.8341674804687,614.9480590820312,16.890862,5076.3016130272445,SACCADE
447.2702331542969,659.1005859375,16.900847,4429.334797347398,SACCADE
446.7008972167969,705.4120483398438,16.910913,4601.128737583553,SACCADE
446.9551086425781,741.7852783203125,16.920939,3627.979085146621,SACCADE
449.8409729003906,737.1596069335938,16.930935,545.4249958215412,SACCADE
450.9798583984375,797.5565795898438,16.94092,6049.84571790096,SACCADE
450.20166015625,779.9473876953125,16.950986,1751.0807529347408,SACCADE
478.1688232421875,807.8241577148438,17.001083,788.2243551066224,SACCADE
464.5206298828125,779.6124877929688,17.011079,3135.215639555759,SACCADE
461.7131042480469,769.1112060546875,17.021065,1088.5341517046622,SACCADE
461.75439453125,731.8763427734375,17.031131,3699.0747243143073,SACCADE
462.6302185058594,725.2442626953125,17.041155,667.3643471042985,SACCADE
469.15423583984375,712.7384643554688,17.051152,1410.9472800487706,SACCADE
472.7908935546875,704.5609741210938,17.061137,896.3116504954636,SACCADE
476.1121215820313,697.2836303710938,17.071204,794.6153726081405,SACCADE
465.0684814453125,723.6944580078125,17.081228,2855.8262365576124,SACCADE
464.8418273925781,719.9562377929688,17.091224,374.6583737238808,SACCADE
468.6636657714844,712.8511352539062,17.101209,807.9890946526256,SACCADE
467.0365295410156,703.9395751953125,17.111276,899.8598669090331,SACCADE
467.8088073730469,701.0636596679688,17.121301,297.03757950584634,OTHER
464.88720703125,693.1798095703125,17.131297,841.1149002480755,SACCADE
464.7626037597656,695.5437622070312,17.141282,237.07904461330307,OTHER
460.06927490234375,699.51513671875,17.151349,610.7183308556282,SACCADE
455.7257690429687,674.8651123046875,17.161373,2496.984956269741,SACCADE
455.8688049316406,673.584228515625,17.17137,128.9232201250906,OTHER
455.7293090820313,705.151611328125,17.181354,3161.8280274599524,SACCADE
451.3836059570313,700.4536743164062,17.191422,635.6443970558371,SACCADE
449.6518249511719,694.8947143554688,17.201446,580.852476583835,SACCADE
446.46435546875,690.6577758789062,17.211442,530.4159890481997,SACCADE
446.4107971191406,687.315673828125,17.221427,334.7552497584788,SACCADE
444.3539733886719,681.8687133789062,17.231494,578.3612034199008,SACCADE
447.2467956542969,678.0521850585938,17.241518,477.75118458405586,SACCADE
446.8289184570313,672.46435546875,17.251515,560.511448898398,SACCADE
447.904052734375,667.916748046875,17.261499,468.0458557885244,SACCADE
446.3403625488281,662.4631958007812,17.271567,563.4984415673406,SACCADE
445.4547424316406,658.3663940429688,17.281591,418.1397293549524,SACCADE
444.41021728515625,654.5692749023438,17.291587,393.9741275177634,SACCADE
443.5281982421875,650.6705932617188,17.301572,400.3213361901134,SACCADE
443.7589416503906,644.5853881835938,17.311639,604.9049625750977,SACCADE
443.385986328125,641.7532958984375,17.321663,284.97044921924186,OTHER
443.1893615722656,639.7008056640625,17.331659,206.27119528764078,OTHER
443.4826354980469,637.5371704101562,17.341644,218.67010158567675,OTHER
443.4513854980469,635.5787353515625,17.351712,194.5455269051325,OTHER
444.0939636230469,634.7774047851562,17.361736,102.46908397722021,OTHER
443.7476501464844,633.611572265625,17.371732,121.66685977624799,OTHER
443.74609375,633.513671875,17.381718,9.805003149298575,FIXATION
443.73828125,633.024169921875,17.391784,48.63543545548523,OTHER
443.8895263671875,632.236572265625,17.401809,79.99882795913253,OTHER
443.3904724121094,631.7605590820312,17.411804,69.00140588464369,OTHER
442.7291870117187,631.386962890625,17.421789,76.06622208180424,OTHER
442.2239074707031,630.5194702148438,17.431857,99.71372705180197,OTHER
441.3942260742187,629.8567504882812,17.441881,105.93279701412872,OTHER
440.72210693359375,628.7980346679688,17.451877,125.45446111230781,OTHER
439.5433044433594,626.7742309570312,17.461862,234.5602255722515,OTHER
439.36871337890625,626.0936279296875,17.471929,69.79633262166759,OTHER
439.1925964355469,625.3153686523438,17.481954,79.59478975722688,OTHER
438.6828308105469,624.1546020507812,17.491949,126.84039348979225,OTHER
437.8441162109375,622.905029296875,17.501934,150.72107311784006,OTHER
437.0023193359375,621.4598999023438,17.512002,166.11339426278454,OTHER
435.9999694824219,620.2149047851562,17.522026,159.45216927369742,OTHER
431.4862060546875,614.3689575195312,17.532023,738.7956682603956,SACCADE
427.4813232421875,609.5866088867188,17.542008,624.7154375424049,SACCADE
429.7975158691406,611.0889282226562,17.552074,274.26433217579057,OTHER
431.8197021484375,614.7512817382812,17.562098,417.3531137237652,SACCADE
430.8388671875,614.8756103515625,17.572095,98.89800734096347,OTHER
428.8559265136719,613.75537109375,17.58208,228.09177455871372,OTHER
427.0247192382813,611.8485107421875,17.592147,262.6158975673819,OTHER
424.86468505859375,609.852783203125,17.602171,293.3821977350726,OTHER
424.7069091796875,610.248291015625,17.612167,42.59868548666563,OTHER
424.5506286621094,610.7415161132812,17.622152,51.81693656354825,OTHER
425.8905029296875,612.6616821289062,17.632219,232.5848127764264,OTHER
426.5755310058594,614.5997314453125,17.642244,205.04270496570567,OTHER
428.4596862792969,619.9304809570312,17.652241,565.5627307780954,SACCADE
428.65966796875,622.274169921875,17.662225,235.59750443021485,OTHER
428.91253662109375,628.0437622070312,17.672292,573.6695110304188,SACCADE
428.1702575683594,633.0594482421875,17.682316,505.8174434291961,SACCADE
427.4937438964844,631.70654296875,17.692312,151.32266666654095,OTHER
430.564453125,618.3075561523438,17.702297,1376.6999209373753,SACCADE
436.2845764160156,565.4197998046875,17.712364,5284.2147157599,SACCADE
461.9884033203125,548.976806640625,17.722388,3044.0198703767583,SACCADE
507.02252197265625,693.2513427734375,17.79251,2155.382270308711,SACCADE
340.3290710449219,-217.9517059326172,17.812531,46267.660776776305,SACCADE
463.6887817382813,-195.39659118652344,17.822516,12559.31401128461,SACCADE
473.163818359375,-107.2873764038086,17.832582,8803.617205668794,SACCADE
479.3727111816406,-62.20573806762695,17.842607,4539.370708871851,SACCADE
481.1110534667969,-27.162561416625977,17.852603,3510.0306149129547,SACCADE
484.35595703125,2.627133369445801,17.862589,3000.7913611595845,SACCADE
466.622314453125,12.050618171691896,17.872655,1995.0264043157576,SACCADE
450.0291748046875,24.181987762451172,17.88268,2050.360444113748,SACCADE
463.05462646484375,37.26753616333008,17.892675,1847.2550384604333,SACCADE
483.76361083984375,59.04536056518555,17.902661,3009.434780428098,SACCADE
482.7865905761719,76.13477325439453,17.912729,1700.1706951943318,SACCADE
482.7214660644531,81.48760986328125,17.922753,534.0415760374269,SACCADE
481.277587890625,90.43640899658205,17.932749,906.8162007910822,SACCADE
478.8495178222656,107.310546875,17.942734,1707.3544308495375,SACCADE
472.1573791503906,119.19499969482422,17.952799,1355.1014374784506,SACCADE
468.5813598632813,125.94744873046876,17.962825,762.1093605283158,SACCADE
469.4847106933594,131.77627563476562,17.972821,590.0772451451694,SACCADE
470.686767578125,136.28158569335938,17.982806,466.9918073630075,SACCADE
472.0661010742187,141.72862243652344,17.992873,558.1568712408482,SACCADE
473.3099060058594,148.59600830078125,18.002898,696.171023247733,SACCADE
471.8281555175781,146.5459442138672,18.012893,253.0760838010606,OTHER
456.110595703125,129.37229919433594,18.022878,2331.5346078365196,SACCADE
438.8326110839844,104.42139434814452,18.032945,3014.7254000596936,SACCADE
432.7290344238281,94.36080169677734,18.04297,1173.7947620861546,SACCADE
430.3101501464844,93.74319458007812,18.052965,249.77343363384483,OTHER
426.8126831054687,96.06082916259766,18.062951,420.1559215404974,SACCADE
426.3632507324219,98.1390380859375,18.073018,211.2099573537368,OTHER
426.3912048339844,99.92704010009766,18.083042,178.393906799478,OTHER
426.9040222167969,101.89530181884766,18.093038,203.478438099388,OTHER
426.5001220703125,106.89314270019533,18.103024,502.11645311608333,SACCADE
427.3403625488281,109.23351287841795,18.11309,247.0327422669689,OTHER
428.6583557128906,111.28334045410156,18.123115,243.09083815581977,OTHER
429.0374755859375,114.95162200927734,18.133111,368.9296409185602,SACCADE
431.0343627929687,119.25251770019533,18.143097,474.85106566860907,SACCADE
433.9886474609375,123.06629943847656,18.153162,479.30270214626427,SACCADE
434.6405334472656,123.6206283569336,18.163186,85.36590475177198,OTHER
434.3175659179687,123.53199005126952,18.173184,33.497709411871945,OTHER
434.005126953125,124.10321044921876,18.183169,65.20624582561125,OTHER
434.33258056640625,124.47466278076172,18.193235,49.19327100244823,OTHER
434.182373046875,125.13741302490234,18.20326,67.78641560725995,OTHER
434.50982666015625,125.5088882446289,18.213255,49.544435758926014,OTHER
436.31103515625,127.55205535888672,18.223241,272.7581434663597,OTHER
437.2966003417969,128.85520935058594,18.233308,162.30013637931216,OTHER
436.9751281738281,128.86087036132812,18.243331,32.0784204629165,OTHER
436.4853820800781,128.3978729248047,18.25333,67.40242723906904,OTHER
435.64849853515625,126.33763885498048,18.263313,222.75085299706265,OTHER
436.2658081054687,124.7236557006836,18.27338,171.65077108042604,OTHER
438.0064697265625,122.99595642089844,18.283405,244.64026336143334,OTHER
