frame_index,frame_time,transformed_gaze_x,transformed_gaze_y
264,10.579,nan,nan
265,10.619,nan,nan
266,10.659,nan,nan
267,10.699,nan,nan
268,10.739,nan,nan
269,10.78,nan,nan
270,10.82,nan,nan
271,10.86,nan,nan
272,10.9,nan,nan
273,10.94,nan,nan
274,10.98,nan,nan
275,11.02,nan,nan
276,11.06,nan,nan
277,11.1,nan,nan
278,11.14,nan,nan
279,11.18,nan,nan
280,11.22,nan,nan
281,11.26,nan,nan
282,11.3,nan,nan
283,11.341,nan,nan
284,11.381,nan,nan
285,11.421,nan,nan
286,11.461,nan,nan
287,11.501,nan,nan
288,11.541,nan,nan
289,11.581,nan,nan
290,11.621,nan,nan
291,11.661,nan,nan
292,11.701,nan,nan
293,11.741,nan,nan
294,11.781,nan,nan
295,11.821,nan,nan
296,11.861,nan,nan
297,11.902,nan,nan
298,11.942,nan,nan
299,11.982,nan,nan
300,12.022,nan,nan
301,12.062,nan,nan
302,12.102,nan,nan
303,12.142,nan,nan
304,12.182,nan,nan
305,12.222,nan,nan
306,12.262,nan,nan
307,12.302,nan,nan
308,12.342,nan,nan
309,12.382,nan,nan
310,12.422,nan,nan
311,12.463,nan,nan
312,12.503,nan,nan
313,12.543,nan,nan
314,12.583,nan,nan
315,12.623,nan,nan
316,12.663,nan,nan
317,12.703,nan,nan
318,12.743,nan,nan
319,12.783,nan,nan
320,12.823,nan,nan
321,12.863,nan,nan
322,12.903,nan,nan
323,12.943,nan,nan
324,12.983,nan,nan
325,13.024,nan,nan
326,13.064,nan,nan
327,13.104,nan,nan
328,13.144,nan,nan
329,13.184,nan,nan
330,13.224,nan,nan
331,13.264,nan,nan
332,13.304,nan,nan
333,13.344,nan,nan
334,13.384,nan,nan
335,13.424,nan,nan
336,13.464,nan,nan
337,13.504,nan,nan
338,13.545,nan,nan
339,13.585,nan,nan
340,13.625,nan,nan
341,13.665,nan,nan
342,13.705,nan,nan
343,13.745,nan,nan
344,13.785,nan,nan
345,13.825,nan,nan
346,13.865,nan,nan
347,13.905,nan,nan
348,13.945,nan,nan
349,13.985,nan,nan
350,14.025,nan,nan
351,14.065,nan,nan
352,14.106,nan,nan
353,14.146,nan,nan
354,14.186,nan,nan
355,14.226,nan,nan
356,14.266,nan,nan
357,14.306,nan,nan
358,14.346,nan,nan
359,14.386,nan,nan
360,14.426,nan,nan
361,14.466,nan,nan
362,14.506,nan,nan
363,14.546,nan,nan
